,Layer,Qubit,Run,2-Norm,Trace Norm,Diamond Norm
0,1,3,0,0.1569181914556892,0.03141463462364121,0.02462331880972433
1,2,0,1,0.21946862218209054,0.03141463462364151,0.04822081607640049
2,2,1,2,0.15691819145568997,0.031414634623641816,0.024633039835141125
3,0,3,3,0.15691819145568944,0.1569181914556894,0.024623318809724393
4,0,1,4,0.15691819145568975,0.09421290141928508,0.024633030243099242
5,1,2,5,0.15691819145568947,0.03141463462364097,0.024623318809724435
6,0,3,6,0.21946862218209062,0.09421290141928527,0.048193588623697076
7,2,3,7,0.21946862218209076,0.031414634623641406,0.0481664761225053
8,1,1,8,0.21946862218209032,0.03141463462364183,0.04823443279729522
9,1,3,9,0.21946862218208985,0.15691819145568908,0.048220762288641895
10,2,0,10,0.15691819145568928,0.09421290141928505,0.024633030243099107
11,2,0,11,0.09421290141928525,0.03141463462364148,0.008876070793839948
12,0,3,12,0.15691819145569,0.03141463462364153,0.024623318809724588
13,0,2,13,0.09421290141928552,0.03141463462364097,0.008876070793840021
14,0,3,14,0.1569181914556901,0.03141463462364124,0.024633049465171322
15,0,2,15,0.1569181914556899,0.03141463462364136,0.02462331880972455
16,0,2,16,0.1569181914556899,0.031414634623641025,0.024642743560354924
17,0,0,17,0.2194686221820906,0.031414634623641094,0.04820713422862395
18,2,2,18,0.1569181914556898,0.03141463462364116,0.024623318809724522
19,1,0,19,0.21946862218208996,0.09421290141928483,0.04819353501036409
20,1,1,20,1.9997532649633214,1.9977797499239398,0.07948198384012492
21,2,1,21,0.15691819145569036,0.03141463462364142,0.024633049465171503
22,1,3,22,0.15691819145568978,0.03141463462364198,0.024642762786136568
23,0,3,23,0.1569181914556902,0.09421290141928544,0.024633049465171475
24,0,2,24,0.15691819145568955,0.09421290141928525,0.0246427627861365
25,0,2,25,0.1569181914556905,0.1569181914556897,0.024633049465171312
26,0,3,26,0.2194686221820901,0.156918191455689,0.04818007164894254
27,1,0,27,0.1569181914556897,0.0942129014192852,0.024633049465171305
28,0,0,28,0.15691819145569058,0.03141463462364151,0.024623318809724768
29,1,3,29,0.21946862218209034,0.09421290141928564,0.04822070860726081
30,1,0,30,0.15691819145568986,0.03141463462364146,0.02463303024309929
31,0,2,31,0.21946862218209034,0.031414634623641025,0.04819358862369695
32,1,1,32,0.15691819145568922,0.03141463462364058,0.02463303024309911
33,0,1,33,0.2194686221820899,0.15691819145568925,0.048207134228623626
34,0,3,34,0.15691819145568947,0.03141463462364098,0.024633049465171204
35,1,1,35,0.15691819145568905,0.09421290141928486,0.024633039854124763
36,1,1,36,0.1569181914556898,0.031414634623641156,0.024633039854125
37,0,2,37,0.15691819145568975,0.03141463462364106,0.02463303024309927
38,1,0,38,0.15691819145568994,0.031414634623641545,0.024623318809724567
39,0,0,39,0.21946862218208973,0.03141463462364068,0.04822065492611829
40,1,0,40,0.15691819145568964,0.15691819145568964,0.02462331880972449
41,0,2,41,0.2818024638751653,0.2818024638751653,0.07942984450400956
42,1,0,42,0.0942129014192856,0.03141463462364163,0.008876070793840025
43,2,0,43,1.9997532649633216,1.999753264963321,0.048193615483533514
44,1,0,44,0.15691819145569022,0.03141463462364105,0.02462331880972462
45,2,0,45,0.09421290141928533,0.031414634623641434,0.008881913413623257
46,1,3,46,0.15691819145569047,0.09421290141928534,0.024642772418065
47,2,0,47,0.15691819145568978,0.09421290141928543,0.024623318809724515
48,1,3,48,0.21946862218209073,0.15691819145568994,0.04818007164894283
49,0,1,49,0.15691819145569008,0.03141463462364166,0.02464277241806488
50,2,2,50,0.09421290141928569,0.03141463462364143,0.008876070793840049
51,2,0,51,0.2194686221820898,0.09421290141928503,0.0481936155366921
52,1,2,52,0.15691819145568967,0.1569181914556895,0.024623318809724484
53,2,2,53,0.21946862218209032,0.031414634623641566,0.04820713430811098
54,0,0,54,0.2194686221820898,0.2194686221820898,0.048166476122504895
55,1,1,55,0.15691819145568997,0.031414634623641156,0.0246330494651714
56,0,2,56,0.21946862218209004,0.09421290141928464,0.04819361548353301
57,1,0,57,0.1569181914556901,0.031414634623641205,0.024642801275847857
58,2,3,58,0.2818024638751652,0.03141463462364214,0.07951663819481626
59,2,1,59,0.15691819145568944,0.15691819145568944,0.024642762786136495
60,0,0,60,0.21946862218208968,0.031414634623641635,0.04820713422862355
61,2,3,61,0.1569181914556889,0.09421290141928496,0.02463303024309898
62,0,2,62,0.21946862218209073,0.03141463462364123,0.048207174550372975
63,0,1,63,0.15691819145568972,0.09421290141928473,0.02463304946517128
64,1,0,64,0.15691819145568978,0.156918191455689,0.02464278201196322
65,0,3,65,0.1569181914556904,0.09421290141928541,0.02464278201196341
66,0,1,66,0.1569181914556894,0.0942129014192851,0.024633039854124864
67,0,0,67,0.21946862218209034,0.09421290141928547,0.0481935350103642
68,0,0,68,0.1569181914556905,0.15691819145568983,0.02462331880972474
69,0,2,69,0.15691819145569033,0.03141463462364138,0.024642762786136755
70,1,1,70,0.15691819145568964,0.031414634623641684,0.024623318809724484
71,1,0,71,0.1569181914556898,0.09421290141928504,0.024633030243099253
72,0,1,72,0.09421290141928569,0.03141463462364133,0.008876070793840021
73,1,2,73,0.21946862218209054,0.03141463462364139,0.04822076228864218
74,1,1,74,0.21946862218209037,0.031414634623640955,0.04816647612250514
75,1,0,75,0.15691819145569025,0.09421290141928552,0.02462331880972466
76,2,0,76,0.2194686221820902,0.03141463462364138,0.04820713422862383
77,1,3,77,0.21946862218209076,0.21946862218209076,0.04819358862369712
78,0,0,78,0.21946862218209107,0.031414634623640865,0.04816647612250543
79,0,2,79,0.15691819145569008,0.03141463462364119,0.024623318809724553
80,0,3,80,0.1569181914556901,0.03141463462364131,0.02462331880972462
81,1,0,81,0.21946862218209087,0.15691819145568986,0.04816647612250534
82,0,1,82,1.9997532649633216,1.9997532649633214,0.024642762786136536
83,1,1,83,0.21946862218209032,0.2194686221820903,0.04819362901999636
84,0,1,84,0.09421290141928526,0.03141463462364113,0.008876070793839952
85,1,0,85,0.15691819145569008,0.09421290141928533,0.024623318809724605
86,2,3,86,0.2818024638751644,0.09421290141928569,0.07944716527314091
87,2,1,87,0.28180246387516467,0.09421290141928446,0.07941262864611348
88,2,0,88,0.1569181914556901,0.09421290141928508,0.024642772418064885
89,2,1,89,0.15691819145568975,0.031414634623641434,0.02464274356035486
90,2,2,90,0.21946862218209073,0.03141463462364155,0.048207094066022964
